item_id,type,category,description,location_lost,location_found,time_lost,time_found,status,matched_item_id,match_score
1,Lost,Electronics,Samsung Galaxy S22 with cracked back,Eden Gardens - South Stand 1,,2026-04-22T10:14:00,,Matched,251,0.92
2,Lost,Apparel,Lost/Found apparel item near seat area,Wankhede Stadium - Food Court West 1,,2026-05-04T08:34:00,,Matched,252,0.78
3,Lost,Keys,Lost/Found keys item near seat area,Narendra Modi Stadium - Food Court East 1,,2026-04-03T11:13:00,,Matched,253,0.91
4,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - Concourse Upper B 1,,2026-04-19T20:33:00,,Matched,254,0.84
5,Lost,Electronics,Red noise-cancelling headphones,Eden Gardens - South Stand 1,,2026-04-17T14:59:00,,Matched,255,0.77
6,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Narendra Modi Stadium - Grand Stand 1,,2026-04-15T07:11:00,,Matched,256,0.86
7,Lost,Electronics,Black iPhone 13 in transparent case,Wankhede Stadium - VIP Lounge South 1,,2026-04-23T18:36:00,,Matched,257,0.93
8,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Wankhede Stadium - Club Clubhouse 1,,2026-05-05T08:40:00,,Matched,258,0.82
9,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Wankhede Stadium - Concourse Lower A 1,,2026-04-28T21:33:00,,Matched,259,0.87
10,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - VIP Lounge South 1,,2026-04-25T20:41:00,,Matched,260,0.79
11,Lost,Apparel,Lost/Found apparel item near seat area,Wankhede Stadium - Concourse Lower A 1,,2026-04-06T00:19:00,,Matched,261,0.9
12,Lost,Apparel,Lost/Found apparel item near seat area,Wankhede Stadium - Concourse Lower A 1,,2026-04-28T22:55:00,,Matched,262,0.81
13,Lost,Wallets/IDs,Black cardholder containing credit cards,Eden Gardens - Press Box 1,,2026-04-17T11:25:00,,Matched,263,0.78
14,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - East Stand 1,,2026-04-23T16:51:00,,Matched,264,0.82
15,Lost,Wallets/IDs,Indian Passport under name Rohit,Eden Gardens - South Pavilion 1,,2026-04-03T08:04:00,,Matched,265,0.8
16,Lost,Wallets/IDs,Indian Passport under name Rohit,Eden Gardens - East Stand 1,,2026-04-16T23:16:00,,Matched,266,0.76
17,Lost,Wallets/IDs,Brown leather wallet with driver's license,Eden Gardens - South Pavilion 1,,2026-04-23T18:37:00,,Matched,267,0.9
18,Lost,Wallets/IDs,Brown leather wallet with driver's license,Narendra Modi Stadium - Corporate Box B 1,,2026-04-12T09:33:00,,Matched,268,0.94
19,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - West Stand 1,,2026-04-25T15:49:00,,Matched,269,0.9
20,Lost,Wallets/IDs,Black cardholder containing credit cards,Eden Gardens - Concourse Lower A 1,,2026-05-01T00:26:00,,Matched,270,0.95
21,Lost,Electronics,Samsung Galaxy S22 with cracked back,Eden Gardens - VIP Lounge South 1,,2026-04-25T12:49:00,,Matched,271,0.89
22,Lost,Electronics,Apple Airpods Pro in white case,Narendra Modi Stadium - Corporate Box A 1,,2026-04-17T10:31:00,,Matched,272,0.9
23,Lost,Keys,Lost/Found keys item near seat area,Wankhede Stadium - Medical Center A 1,,2026-04-24T19:29:00,,Matched,273,0.75
24,Lost,Other,Lost/Found other item near seat area,Eden Gardens - Press Box 1,,2026-04-03T03:00:00,,Matched,274,0.9
25,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - Corporate Box B 1,,2026-04-09T20:40:00,,Matched,275,0.91
26,Lost,Other,Lost/Found other item near seat area,Narendra Modi Stadium - Press Box 1,,2026-05-05T20:01:00,,Matched,276,0.89
27,Lost,Wallets/IDs,Black cardholder containing credit cards,Narendra Modi Stadium - Press Box 1,,2026-04-04T11:58:00,,Matched,277,0.8
28,Lost,Wallets/IDs,Indian Passport under name Rohit,Narendra Modi Stadium - South Stand 1,,2026-04-06T03:36:00,,Matched,278,0.93
29,Lost,Keys,Lost/Found keys item near seat area,Narendra Modi Stadium - North Stand 1,,2026-04-04T21:46:00,,Matched,279,0.84
30,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - Grand Stand 1,,2026-04-19T03:09:00,,Matched,280,0.8
31,Lost,Electronics,Red noise-cancelling headphones,Eden Gardens - Corporate Box B 1,,2026-04-26T01:59:00,,Matched,281,0.83
32,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Narendra Modi Stadium - Food Court East 1,,2026-04-24T14:30:00,,Matched,282,0.84
33,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - VIP Lounge North 1,,2026-04-12T03:06:00,,Matched,283,0.77
34,Lost,Other,Lost/Found other item near seat area,Eden Gardens - East Stand 1,,2026-04-11T23:17:00,,Matched,284,0.75
35,Lost,Wallets/IDs,Brown leather wallet with driver's license,Wankhede Stadium - Food Court West 1,,2026-04-04T17:26:00,,Matched,285,0.87
36,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - South Stand 1,,2026-04-16T00:31:00,,Matched,286,0.81
37,Lost,Wallets/IDs,Indian Passport under name Rohit,Eden Gardens - Press Box 1,,2026-04-14T12:18:00,,Matched,287,0.79
38,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - Concourse Upper A 1,,2026-04-13T15:22:00,,Matched,288,0.73
39,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - VIP Lounge North 1,,2026-04-17T07:09:00,,Matched,289,0.79
40,Lost,Wallets/IDs,Brown leather wallet with driver's license,Wankhede Stadium - Grand Stand 1,,2026-05-02T16:58:00,,Matched,290,0.77
41,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Narendra Modi Stadium - Grand Stand 1,,2026-04-15T20:36:00,,Matched,291,0.77
42,Lost,Electronics,Apple Airpods Pro in white case,Wankhede Stadium - Food Court West 1,,2026-04-01T20:11:00,,Matched,292,0.95
43,Lost,Other,Lost/Found other item near seat area,Eden Gardens - Club Clubhouse 1,,2026-05-04T18:44:00,,Matched,293,0.88
44,Lost,Keys,Lost/Found keys item near seat area,Narendra Modi Stadium - Corporate Box A 1,,2026-04-10T14:35:00,,Matched,294,0.95
45,Lost,Wallets/IDs,Brown leather wallet with driver's license,Eden Gardens - East Stand 1,,2026-04-09T07:47:00,,Matched,295,0.75
46,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - VIP Lounge North 1,,2026-04-17T18:19:00,,Matched,296,0.83
47,Lost,Electronics,Black iPhone 13 in transparent case,Wankhede Stadium - Concourse Upper B 1,,2026-05-03T12:19:00,,Matched,297,0.78
48,Lost,Other,Lost/Found other item near seat area,Eden Gardens - North Stand 1,,2026-04-17T06:03:00,,Matched,298,0.92
49,Lost,Wallets/IDs,Student ID card in blue lanyard,Eden Gardens - East Stand 1,,2026-04-29T14:13:00,,Matched,299,0.81
50,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - Food Court West 1,,2026-04-23T02:02:00,,Matched,300,0.78
51,Lost,Other,Lost/Found other item near seat area,Eden Gardens - VIP Lounge North 1,,2026-04-01T21:34:00,,Lost,,0.0
52,Lost,Electronics,Samsung Galaxy S22 with cracked back,Eden Gardens - VIP Lounge North 1,,2026-04-17T21:02:00,,Lost,,0.0
53,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - South Pavilion 1,,2026-04-08T01:17:00,,Lost,,0.0
54,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - West Stand 1,,2026-04-29T10:07:00,,Lost,,0.0
55,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - VIP Lounge North 1,,2026-04-02T14:46:00,,Lost,,0.0
56,Lost,Electronics,Apple Airpods Pro in white case,Narendra Modi Stadium - Corporate Box A 1,,2026-04-13T19:05:00,,Lost,,0.0
57,Lost,Other,Lost/Found other item near seat area,Narendra Modi Stadium - Food Court West 1,,2026-05-02T11:32:00,,Lost,,0.0
58,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - High Court Stand 1,,2026-04-04T15:30:00,,Lost,,0.0
59,Lost,Other,Lost/Found other item near seat area,Eden Gardens - South Stand 1,,2026-04-09T19:29:00,,Lost,,0.0
60,Lost,Keys,Lost/Found keys item near seat area,Wankhede Stadium - VIP Lounge South 1,,2026-04-07T08:03:00,,Lost,,0.0
61,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Narendra Modi Stadium - Concourse Upper A 1,,2026-04-21T14:53:00,,Lost,,0.0
62,Lost,Wallets/IDs,Indian Passport under name Rohit,Eden Gardens - North Stand 1,,2026-04-06T23:02:00,,Lost,,0.0
63,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - Food Court West 1,,2026-04-05T02:16:00,,Lost,,0.0
64,Lost,Wallets/IDs,Brown leather wallet with driver's license,Narendra Modi Stadium - VIP Lounge North 1,,2026-04-15T10:48:00,,Lost,,0.0
65,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - East Stand 1,,2026-04-19T06:58:00,,Lost,,0.0
66,Lost,Other,Lost/Found other item near seat area,Wankhede Stadium - South Stand 1,,2026-05-04T10:54:00,,Lost,,0.0
67,Lost,Wallets/IDs,Brown leather wallet with driver's license,Wankhede Stadium - Concourse Lower A 1,,2026-04-22T17:59:00,,Lost,,0.0
68,Lost,Electronics,Black iPhone 13 in transparent case,Eden Gardens - Corporate Box A 1,,2026-04-28T09:31:00,,Lost,,0.0
69,Lost,Apparel,Lost/Found apparel item near seat area,Wankhede Stadium - South Stand 1,,2026-04-26T01:44:00,,Lost,,0.0
70,Lost,Other,Lost/Found other item near seat area,Narendra Modi Stadium - Press Box 1,,2026-04-18T17:38:00,,Lost,,0.0
71,Lost,Wallets/IDs,Student ID card in blue lanyard,Wankhede Stadium - Concourse Lower A 1,,2026-04-17T23:57:00,,Lost,,0.0
72,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Narendra Modi Stadium - South Pavilion 1,,2026-04-17T10:19:00,,Lost,,0.0
73,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - VIP Lounge South 1,,2026-04-11T10:49:00,,Lost,,0.0
74,Lost,Keys,Lost/Found keys item near seat area,Narendra Modi Stadium - Press Box 1,,2026-04-06T18:33:00,,Lost,,0.0
75,Lost,Electronics,Red noise-cancelling headphones,Eden Gardens - Concourse Lower A 1,,2026-04-23T08:25:00,,Lost,,0.0
76,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - Grand Stand 1,,2026-04-07T21:29:00,,Lost,,0.0
77,Lost,Keys,Lost/Found keys item near seat area,Narendra Modi Stadium - High Court Stand 1,,2026-04-17T05:00:00,,Lost,,0.0
78,Lost,Wallets/IDs,Indian Passport under name Rohit,Narendra Modi Stadium - Food Court West 1,,2026-04-16T11:59:00,,Lost,,0.0
79,Lost,Other,Lost/Found other item near seat area,Eden Gardens - East Stand 1,,2026-04-13T13:23:00,,Lost,,0.0
80,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - Press Box 1,,2026-04-08T20:02:00,,Lost,,0.0
81,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - Medical Center A 1,,2026-04-05T04:56:00,,Lost,,0.0
82,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - Press Box 1,,2026-04-04T19:12:00,,Lost,,0.0
83,Lost,Electronics,Red noise-cancelling headphones,Wankhede Stadium - High Court Stand 1,,2026-04-12T23:28:00,,Lost,,0.0
84,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - Concourse Lower A 1,,2026-04-25T05:19:00,,Lost,,0.0
85,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - Food Court West 1,,2026-04-17T02:39:00,,Lost,,0.0
86,Lost,Electronics,Red noise-cancelling headphones,Eden Gardens - Club Clubhouse 1,,2026-04-23T15:36:00,,Lost,,0.0
87,Lost,Other,Lost/Found other item near seat area,Narendra Modi Stadium - Corporate Box B 1,,2026-04-01T21:22:00,,Lost,,0.0
88,Lost,Wallets/IDs,Black cardholder containing credit cards,Narendra Modi Stadium - Grand Stand 1,,2026-04-07T11:55:00,,Lost,,0.0
89,Lost,Electronics,Apple Airpods Pro in white case,Narendra Modi Stadium - Club Clubhouse 1,,2026-04-28T05:59:00,,Lost,,0.0
90,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - Corporate Box A 1,,2026-04-16T12:27:00,,Lost,,0.0
91,Lost,Wallets/IDs,Student ID card in blue lanyard,Eden Gardens - North Stand 1,,2026-04-09T01:59:00,,Lost,,0.0
92,Lost,Wallets/IDs,Brown leather wallet with driver's license,Narendra Modi Stadium - South Pavilion 1,,2026-05-02T01:17:00,,Lost,,0.0
93,Lost,Electronics,Samsung Galaxy S22 with cracked back,Wankhede Stadium - High Court Stand 1,,2026-04-14T13:46:00,,Lost,,0.0
94,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - Corporate Box A 1,,2026-04-06T18:20:00,,Lost,,0.0
95,Lost,Apparel,Lost/Found apparel item near seat area,Wankhede Stadium - Concourse Upper B 1,,2026-04-29T00:09:00,,Lost,,0.0
96,Lost,Keys,Lost/Found keys item near seat area,Narendra Modi Stadium - North Stand 1,,2026-04-13T20:10:00,,Lost,,0.0
97,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Narendra Modi Stadium - Concourse Upper A 1,,2026-04-25T01:32:00,,Lost,,0.0
98,Lost,Electronics,Samsung Galaxy S22 with cracked back,Wankhede Stadium - Grand Stand 1,,2026-04-29T13:10:00,,Lost,,0.0
99,Lost,Electronics,Red noise-cancelling headphones,Eden Gardens - VIP Lounge South 1,,2026-04-15T23:27:00,,Lost,,0.0
100,Lost,Keys,Lost/Found keys item near seat area,Wankhede Stadium - Concourse Lower A 1,,2026-04-06T14:12:00,,Lost,,0.0
101,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - South Stand 1,,2026-04-25T21:54:00,,Lost,,0.0
102,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - North Stand 1,,2026-04-15T07:14:00,,Lost,,0.0
103,Lost,Apparel,Lost/Found apparel item near seat area,Wankhede Stadium - Concourse Lower A 1,,2026-04-16T18:46:00,,Lost,,0.0
104,Lost,Electronics,Red noise-cancelling headphones,Narendra Modi Stadium - Press Box 1,,2026-04-23T22:07:00,,Lost,,0.0
105,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - VIP Lounge North 1,,2026-04-23T23:30:00,,Lost,,0.0
106,Lost,Keys,Lost/Found keys item near seat area,Narendra Modi Stadium - South Stand 1,,2026-05-03T09:48:00,,Lost,,0.0
107,Lost,Electronics,Apple Airpods Pro in white case,Narendra Modi Stadium - Club Clubhouse 1,,2026-04-11T13:21:00,,Lost,,0.0
108,Lost,Wallets/IDs,Black cardholder containing credit cards,Wankhede Stadium - Medical Center A 1,,2026-04-16T05:54:00,,Lost,,0.0
109,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - South Stand 1,,2026-05-06T00:58:00,,Lost,,0.0
110,Lost,Other,Lost/Found other item near seat area,Eden Gardens - Press Box 1,,2026-05-04T05:09:00,,Lost,,0.0
111,Lost,Electronics,Apple Airpods Pro in white case,Wankhede Stadium - VIP Lounge South 1,,2026-04-25T23:17:00,,Lost,,0.0
112,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Wankhede Stadium - Concourse Upper B 1,,2026-04-11T18:40:00,,Lost,,0.0
113,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Narendra Modi Stadium - VIP Lounge North 1,,2026-04-09T22:53:00,,Lost,,0.0
114,Lost,Other,Lost/Found other item near seat area,Wankhede Stadium - VIP Lounge South 1,,2026-04-24T17:47:00,,Lost,,0.0
115,Lost,Wallets/IDs,Student ID card in blue lanyard,Wankhede Stadium - Concourse Lower A 1,,2026-04-08T21:10:00,,Lost,,0.0
116,Lost,Electronics,Samsung Galaxy S22 with cracked back,Narendra Modi Stadium - Corporate Box A 1,,2026-04-25T04:34:00,,Lost,,0.0
117,Lost,Other,Lost/Found other item near seat area,Wankhede Stadium - Corporate Box B 1,,2026-04-20T18:01:00,,Lost,,0.0
118,Lost,Keys,Lost/Found keys item near seat area,Narendra Modi Stadium - South Pavilion 1,,2026-04-05T06:14:00,,Lost,,0.0
119,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - West Stand 1,,2026-04-10T02:18:00,,Lost,,0.0
120,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - Club Clubhouse 1,,2026-05-02T12:24:00,,Lost,,0.0
121,Lost,Other,Lost/Found other item near seat area,Narendra Modi Stadium - Press Box 1,,2026-04-03T00:15:00,,Lost,,0.0
122,Lost,Wallets/IDs,Student ID card in blue lanyard,Narendra Modi Stadium - South Pavilion 1,,2026-05-04T18:18:00,,Lost,,0.0
123,Lost,Electronics,Red noise-cancelling headphones,Narendra Modi Stadium - Concourse Lower B 1,,2026-04-12T22:31:00,,Lost,,0.0
124,Lost,Wallets/IDs,Black cardholder containing credit cards,Eden Gardens - Corporate Box B 1,,2026-04-07T18:46:00,,Lost,,0.0
125,Lost,Keys,Lost/Found keys item near seat area,Narendra Modi Stadium - Corporate Box A 1,,2026-04-25T05:10:00,,Lost,,0.0
126,Lost,Wallets/IDs,Student ID card in blue lanyard,Narendra Modi Stadium - VIP Lounge North 1,,2026-05-03T16:29:00,,Lost,,0.0
127,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - Corporate Box B 1,,2026-04-10T11:22:00,,Lost,,0.0
128,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - Club Clubhouse 1,,2026-04-12T10:48:00,,Lost,,0.0
129,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - Medical Center A 1,,2026-04-12T18:17:00,,Lost,,0.0
130,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Wankhede Stadium - Grand Stand 1,,2026-04-23T05:07:00,,Lost,,0.0
131,Lost,Other,Lost/Found other item near seat area,Eden Gardens - East Stand 1,,2026-04-08T11:10:00,,Lost,,0.0
132,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - South Stand 1,,2026-04-15T14:39:00,,Lost,,0.0
133,Lost,Electronics,Apple Airpods Pro in white case,Narendra Modi Stadium - Press Box 1,,2026-04-11T20:03:00,,Lost,,0.0
134,Lost,Keys,Lost/Found keys item near seat area,Wankhede Stadium - Club Clubhouse 1,,2026-04-23T17:23:00,,Lost,,0.0
135,Lost,Electronics,Black iPhone 13 in transparent case,Wankhede Stadium - Grand Stand 1,,2026-04-11T18:25:00,,Lost,,0.0
136,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - East Stand 1,,2026-04-21T18:58:00,,Lost,,0.0
137,Lost,Wallets/IDs,Brown leather wallet with driver's license,Eden Gardens - Press Box 1,,2026-04-12T19:35:00,,Lost,,0.0
138,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - South Stand 1,,2026-04-30T15:34:00,,Lost,,0.0
139,Lost,Wallets/IDs,Indian Passport under name Rohit,Eden Gardens - Club Clubhouse 1,,2026-04-11T05:57:00,,Lost,,0.0
140,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - Medical Center A 1,,2026-04-23T04:52:00,,Lost,,0.0
141,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - Food Court West 1,,2026-04-23T09:06:00,,Lost,,0.0
142,Lost,Keys,Lost/Found keys item near seat area,Narendra Modi Stadium - Press Box 1,,2026-04-20T20:25:00,,Lost,,0.0
143,Lost,Wallets/IDs,Black cardholder containing credit cards,Eden Gardens - Corporate Box B 1,,2026-04-20T23:38:00,,Lost,,0.0
144,Lost,Apparel,Lost/Found apparel item near seat area,Eden Gardens - Concourse Lower A 1,,2026-04-13T01:33:00,,Lost,,0.0
145,Lost,Apparel,Lost/Found apparel item near seat area,Wankhede Stadium - Medical Center A 1,,2026-04-04T07:35:00,,Lost,,0.0
146,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - Medical Center A 1,,2026-04-28T01:24:00,,Lost,,0.0
147,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - Press Box 1,,2026-05-03T06:15:00,,Lost,,0.0
148,Lost,Wallets/IDs,Indian Passport under name Rohit,Eden Gardens - Concourse Lower A 1,,2026-04-22T02:11:00,,Lost,,0.0
149,Lost,Apparel,Lost/Found apparel item near seat area,Wankhede Stadium - Food Court West 1,,2026-04-09T08:05:00,,Lost,,0.0
150,Lost,Other,Lost/Found other item near seat area,Eden Gardens - North Stand 1,,2026-04-27T15:04:00,,Lost,,0.0
151,Lost,Electronics,Red noise-cancelling headphones,Narendra Modi Stadium - West Stand 1,,2026-04-11T20:25:00,,Lost,,0.0
152,Lost,Electronics,Red noise-cancelling headphones,Narendra Modi Stadium - VIP Lounge North 1,,2026-05-04T15:29:00,,Lost,,0.0
153,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - Medical Center A 1,,2026-05-04T02:46:00,,Lost,,0.0
154,Lost,Other,Lost/Found other item near seat area,Wankhede Stadium - Corporate Box B 1,,2026-05-03T01:10:00,,Lost,,0.0
155,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - South Stand 1,,2026-04-02T05:05:00,,Lost,,0.0
156,Lost,Apparel,Lost/Found apparel item near seat area,Wankhede Stadium - High Court Stand 1,,2026-04-17T00:06:00,,Lost,,0.0
157,Lost,Wallets/IDs,Black cardholder containing credit cards,Wankhede Stadium - Concourse Lower A 1,,2026-04-16T20:42:00,,Lost,,0.0
158,Lost,Keys,Lost/Found keys item near seat area,Eden Gardens - West Stand 1,,2026-05-04T13:59:00,,Lost,,0.0
159,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Narendra Modi Stadium - Concourse Upper B 1,,2026-04-30T08:39:00,,Lost,,0.0
160,Lost,Wallets/IDs,Black cardholder containing credit cards,Narendra Modi Stadium - North Stand 1,,2026-04-04T06:23:00,,Lost,,0.0
161,Lost,Electronics,Black iPhone 13 in transparent case,Eden Gardens - Concourse Lower A 1,,2026-04-11T01:14:00,,Lost,,0.0
162,Lost,Wallets/IDs,Brown leather wallet with driver's license,Wankhede Stadium - Medical Center A 1,,2026-04-27T03:58:00,,Lost,,0.0
163,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Eden Gardens - Concourse Lower A 1,,2026-05-04T06:17:00,,Lost,,0.0
164,Lost,Bags/Backpacks,Lost/Found bags/backpacks item near seat area,Wankhede Stadium - Concourse Lower A 1,,2026-04-20T18:59:00,,Lost,,0.0
165,Lost,Other,Lost/Found other item near seat area,Narendra Modi Stadium - Food Court West 1,,2026-04-21T07:14:00,,Lost,,0.0
166,Lost,Wallets/IDs,Brown leather wallet with driver's license,Narendra Modi Stadium - VIP Lounge North 1,,2026-04-16T23:41:00,,Lost,,0.0
167,Lost,Apparel,Lost/Found apparel item near seat area,Narendra Modi Stadium - Concourse Upper A 1,,2026-05-02T14:02:00,,Lost,,0.0
